,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
35645,Female,24,1,12,1,< 1 Year,No,44544,152,260,0
11971,Male,47,1,35,0,1-2 Year,Yes,23375,124,203,1
49641,Male,41,1,28,0,1-2 Year,Yes,31085,124,146,1
21790,Male,29,1,4,0,1-2 Year,Yes,26636,26,39,0
21213,Male,45,1,36,0,1-2 Year,Yes,30891,29,253,1
28560,Male,50,1,30,0,1-2 Year,Yes,40989,124,115,1
23828,Male,29,1,36,0,< 1 Year,Yes,32296,152,280,1
37671,Male,22,1,15,0,< 1 Year,No,48125,152,187,0
37736,Female,48,1,41,0,1-2 Year,Yes,27149,26,211,1
8274,Male,46,1,31,1,1-2 Year,Yes,2630,124,240,0
50340,Male,29,1,29,0,1-2 Year,Yes,2630,154,20,0
1699,Female,28,1,50,0,1-2 Year,Yes,30530,26,162,1
8330,Male,24,1,29,0,< 1 Year,Yes,36096,152,42,1
37152,Male,34,1,1,0,1-2 Year,Yes,2630,124,92,1
42224,Male,22,1,15,1,< 1 Year,No,33215,152,166,0
64259,Female,42,1,15,0,1-2 Year,Yes,42741,152,113,0
48689,Female,21,1,32,0,< 1 Year,No,30241,160,62,0
63495,Male,43,1,28,0,> 2 Years,Yes,60534,13,24,1
44846,Male,45,1,29,0,1-2 Year,Yes,43829,124,43,1
40435,Male,31,1,38,1,1-2 Year,No,31682,124,137,0
50014,Male,23,1,28,1,< 1 Year,No,61854,152,34,0
32955,Female,26,1,15,1,< 1 Year,No,36277,152,245,0
1499,Male,68,1,28,1,1-2 Year,No,38030,26,250,0
18651,Female,45,1,28,0,1-2 Year,Yes,40685,124,57,0
58314,Male,20,1,3,0,< 1 Year,No,2630,160,93,0
49467,Female,21,1,13,0,< 1 Year,Yes,26726,152,226,0
37957,Female,25,1,8,1,< 1 Year,No,34453,160,65,0
1768,Female,26,1,3,1,< 1 Year,No,21816,152,236,0
39973,Female,22,1,21,1,< 1 Year,No,21371,152,142,0
15829,Female,32,1,41,1,1-2 Year,No,2630,122,85,0
2008,Female,24,1,36,1,< 1 Year,Yes,39107,152,268,0
65101,Female,47,1,28,0,1-2 Year,Yes,34254,122,194,0
44271,Female,42,1,35,0,1-2 Year,Yes,30824,26,197,1
13874,Male,78,1,28,0,1-2 Year,Yes,24345,26,18,0
58003,Female,35,1,6,0,1-2 Year,Yes,2630,156,171,0
58490,Female,22,1,8,1,< 1 Year,No,45053,152,184,0
26097,Male,23,1,15,0,< 1 Year,No,39844,152,163,0
65485,Male,69,1,28,0,> 2 Years,Yes,28848,26,268,1
54765,Male,45,1,41,0,1-2 Year,Yes,32666,124,219,0
26085,Female,32,1,0,1,< 1 Year,No,2630,152,235,0
20508,Male,38,1,28,0,1-2 Year,Yes,34402,152,241,0
42025,Male,49,1,36,0,1-2 Year,No,2630,26,179,0
568,Female,51,1,28,0,1-2 Year,Yes,35308,26,212,0
27533,Male,41,1,28,0,1-2 Year,Yes,44095,157,257,1
23946,Male,23,1,41,1,< 1 Year,No,24434,152,100,0
5355,Male,36,1,1,0,1-2 Year,Yes,2630,26,204,0
40124,Male,63,1,46,0,1-2 Year,No,35216,26,189,0
26401,Male,63,1,46,1,1-2 Year,No,30065,26,189,0
33913,Male,22,1,22,0,< 1 Year,Yes,41411,152,271,0
50738,Male,50,1,3,0,1-2 Year,Yes,29711,124,268,1
34,Female,48,1,28,0,1-2 Year,Yes,41319,26,145,1
51372,Male,34,1,15,0,1-2 Year,Yes,2630,156,283,0
24283,Male,25,1,30,1,< 1 Year,No,2630,152,288,0
19050,Female,37,1,28,1,1-2 Year,No,32129,152,226,0
8771,Female,56,1,28,0,1-2 Year,Yes,24434,122,256,0
5835,Female,53,1,47,0,1-2 Year,Yes,20393,124,270,1
26020,Male,43,1,47,0,1-2 Year,Yes,36305,13,151,0
31767,Male,24,1,37,1,< 1 Year,No,20810,160,254,0
41543,Male,63,1,28,1,1-2 Year,No,59214,124,22,0
7893,Male,28,1,9,0,1-2 Year,Yes,31804,157,124,1
34433,Male,48,1,33,0,1-2 Year,Yes,52823,138,150,1
49952,Female,35,1,31,0,1-2 Year,Yes,2630,156,70,1
26888,Female,28,1,41,1,< 1 Year,No,29015,152,110,0
56798,Female,68,1,46,0,1-2 Year,Yes,28067,30,73,0
58693,Male,27,1,50,1,< 1 Year,No,29464,152,68,0
50208,Female,28,1,41,1,1-2 Year,Yes,2630,156,224,0
14215,Male,51,1,27,0,1-2 Year,Yes,26991,124,110,0
20243,Female,24,1,45,0,< 1 Year,Yes,31215,152,270,0
36960,Male,24,1,15,0,< 1 Year,Yes,50673,152,61,0
6774,Male,49,1,35,0,1-2 Year,Yes,20251,26,60,1
4863,Female,40,1,28,0,1-2 Year,Yes,66451,124,216,0
34935,Male,67,1,30,1,1-2 Year,No,2630,26,194,0
64875,Male,59,1,20,0,> 2 Years,Yes,2630,124,132,0
57041,Male,52,1,28,0,1-2 Year,Yes,38801,124,95,1
53574,Female,24,1,28,0,< 1 Year,Yes,34067,152,209,1
11467,Female,22,1,39,1,< 1 Year,No,46793,152,28,0
63139,Female,47,1,38,0,1-2 Year,No,2630,156,174,1
54999,Female,21,1,6,0,< 1 Year,Yes,27436,156,55,1
58084,Female,23,1,41,1,< 1 Year,No,30853,152,272,0
32394,Male,30,1,8,0,< 1 Year,No,35377,26,65,0
45853,Female,23,1,45,1,< 1 Year,No,28590,152,215,0
63469,Male,63,1,28,0,1-2 Year,Yes,53682,152,256,0
22612,Male,24,1,47,0,1-2 Year,Yes,34546,124,145,1
47782,Female,34,1,30,1,1-2 Year,No,26984,152,254,0
47315,Male,28,1,34,0,< 1 Year,Yes,29067,124,169,0
12836,Male,21,1,50,1,< 1 Year,No,29377,152,152,0
42071,Male,54,1,1,0,1-2 Year,Yes,2630,22,215,0
37387,Male,49,1,28,0,> 2 Years,Yes,32903,158,110,0
22795,Female,55,1,39,0,1-2 Year,Yes,2630,124,89,1
35823,Female,43,1,46,1,1-2 Year,No,39040,11,98,0
5809,Male,50,1,46,0,1-2 Year,Yes,27247,11,43,0
46325,Male,51,1,28,1,1-2 Year,No,35299,26,281,0
27887,Male,54,1,3,1,1-2 Year,No,27693,124,240,0
64209,Female,69,1,28,0,1-2 Year,Yes,54650,124,44,1
54340,Male,25,1,28,0,1-2 Year,No,34474,154,191,0
58680,Female,25,1,21,1,< 1 Year,No,34560,26,261,0
43889,Male,44,1,28,0,1-2 Year,Yes,54165,26,233,1
37581,Male,25,1,8,1,< 1 Year,No,79409,152,141,0
20188,Male,49,1,28,0,1-2 Year,Yes,49788,26,170,1
19237,Male,53,1,10,0,1-2 Year,Yes,27142,26,219,0
34832,Male,24,1,8,1,< 1 Year,No,39893,152,60,0
56207,Female,26,1,8,1,< 1 Year,No,31467,152,265,0
22210,Female,23,1,8,0,1-2 Year,Yes,38176,157,94,1
57326,Female,63,1,28,1,1-2 Year,No,2630,26,55,0
35067,Female,30,1,28,0,< 1 Year,Yes,25162,152,167,1
15213,Female,23,1,29,1,< 1 Year,No,2630,160,56,0
31304,Male,39,1,46,0,1-2 Year,Yes,27757,163,166,1
28440,Female,24,1,14,1,< 1 Year,No,30542,152,273,0
60443,Male,39,1,8,0,1-2 Year,Yes,2630,122,173,1
57298,Female,24,1,40,0,< 1 Year,Yes,38507,152,107,0
2794,Female,40,1,28,0,1-2 Year,Yes,32675,124,149,0
23437,Female,22,1,28,0,1-2 Year,Yes,2630,26,298,0
63543,Female,25,1,41,0,1-2 Year,Yes,2630,26,100,0
8124,Female,23,1,14,1,< 1 Year,No,35407,152,84,0
17104,Female,41,1,8,0,1-2 Year,Yes,37867,124,18,1
65188,Female,28,1,15,0,< 1 Year,No,2630,152,296,0
10295,Male,35,1,18,0,1-2 Year,Yes,33849,157,24,1
54894,Female,24,1,29,0,1-2 Year,Yes,32236,26,114,1
29034,Female,80,1,28,0,> 2 Years,Yes,63420,26,60,1
62353,Female,24,1,10,0,< 1 Year,No,27067,152,53,0
35612,Male,60,1,28,0,1-2 Year,Yes,41032,26,225,0
19497,Female,30,1,2,1,< 1 Year,No,2630,160,294,0
34232,Female,32,1,28,0,1-2 Year,Yes,39406,156,113,0
5038,Female,28,1,30,0,< 1 Year,Yes,22754,122,252,0
2885,Male,22,1,13,0,< 1 Year,Yes,27599,152,95,0
56598,Male,68,1,28,0,1-2 Year,Yes,61926,155,164,0
24627,Female,22,1,33,1,< 1 Year,No,31384,152,169,0
40548,Male,47,1,3,0,1-2 Year,Yes,45290,124,45,1
16889,Male,27,1,8,1,< 1 Year,No,30866,152,200,0
20871,Male,56,1,8,0,1-2 Year,Yes,47495,26,220,1
36326,Female,23,1,6,0,< 1 Year,Yes,44790,152,213,0
37083,Female,85,1,8,1,< 1 Year,No,49669,152,47,0
57416,Male,48,1,8,1,1-2 Year,No,28445,78,52,0
64417,Female,46,1,28,0,1-2 Year,Yes,2630,154,255,0
6809,Female,23,1,8,0,< 1 Year,Yes,47775,152,297,0
40888,Female,48,1,12,0,1-2 Year,Yes,28698,124,230,0
49237,Male,31,1,24,0,< 1 Year,Yes,17484,163,53,0
32355,Male,24,1,41,1,< 1 Year,No,33130,152,216,0
7142,Female,22,1,46,0,< 1 Year,No,50664,152,74,0
47965,Female,55,1,41,0,1-2 Year,Yes,2630,156,99,0
18985,Male,42,1,3,0,1-2 Year,Yes,31766,156,184,1
60794,Female,24,1,41,1,< 1 Year,No,2630,152,208,0
18447,Female,22,1,46,1,< 1 Year,No,2630,152,210,0
63419,Male,62,1,8,1,1-2 Year,No,43886,124,160,0
3181,Male,53,1,28,0,1-2 Year,Yes,31058,26,16,0
38629,Female,37,1,47,0,1-2 Year,No,41035,124,212,0
64177,Female,42,1,45,0,1-2 Year,Yes,20886,26,142,0
10671,Male,26,1,41,1,< 1 Year,No,36730,152,281,0
57958,Female,59,1,41,1,1-2 Year,No,45453,26,247,0
31573,Male,23,1,29,1,< 1 Year,No,40702,152,142,0
48362,Male,53,1,28,0,1-2 Year,Yes,78506,124,104,0
23455,Male,28,1,41,1,< 1 Year,No,27598,152,224,0
23,Male,31,1,3,0,1-2 Year,Yes,2630,156,189,1
31435,Female,20,1,15,0,< 1 Year,Yes,28817,160,168,0
32244,Male,26,1,10,1,< 1 Year,No,43080,152,99,0
499,Female,24,1,28,1,< 1 Year,No,23962,26,149,0
30544,Male,49,1,29,0,1-2 Year,Yes,45040,124,68,0
14147,Female,52,1,40,0,> 2 Years,Yes,2630,26,31,1
38046,Male,50,1,28,0,> 2 Years,Yes,32578,26,96,1
55341,Female,60,1,28,1,1-2 Year,No,35279,26,299,0
18795,Female,43,1,50,0,1-2 Year,Yes,36440,124,189,1
2552,Female,42,1,28,0,1-2 Year,Yes,26882,124,141,0
30140,Female,23,1,43,0,< 1 Year,Yes,36588,152,27,0
24836,Male,21,1,24,0,< 1 Year,No,28312,152,186,0
26961,Female,22,1,46,0,< 1 Year,No,27107,26,299,0
1202,Female,29,1,8,0,< 1 Year,Yes,54813,152,269,0
14519,Male,39,1,50,0,1-2 Year,Yes,35402,25,768,0
32672,Male,54,1,28,0,1-2 Year,Yes,37383,26,240,0
39272,Female,23,1,30,1,< 1 Year,No,29705,152,10,0
8278,Female,22,1,22,1,< 1 Year,No,30050,152,256,0
60419,Female,29,1,3,1,< 1 Year,No,25305,152,76,0
9598,Female,76,1,11,0,1-2 Year,Yes,48157,124,141,0
56231,Female,71,1,28,0,1-2 Year,Yes,35697,26,22,0
63872,Male,28,1,29,1,< 1 Year,No,38726,152,75,0
9945,Female,25,1,36,1,< 1 Year,No,35449,152,150,0
60512,Male,60,1,6,0,1-2 Year,Yes,42251,26,36,0
53657,Female,54,1,47,1,1-2 Year,No,2630,152,30,0
55381,Female,70,1,28,0,> 2 Years,Yes,35565,122,165,0
47051,Male,58,1,29,0,1-2 Year,Yes,37181,26,164,1
11870,Female,24,1,6,1,< 1 Year,No,25163,152,134,0
45723,Female,74,1,46,0,1-2 Year,Yes,24436,11,296,0
5542,Male,47,1,14,1,1-2 Year,No,32686,124,117,0
33687,Male,38,1,28,1,1-2 Year,No,32393,26,263,0
8305,Male,46,1,28,0,1-2 Year,Yes,27374,124,234,0
26743,Male,21,1,22,1,< 1 Year,No,2630,160,181,0
26508,Male,24,1,8,0,< 1 Year,Yes,2630,160,36,0
11223,Male,57,1,8,0,1-2 Year,Yes,44479,26,43,1
8587,Female,33,1,8,0,1-2 Year,Yes,31258,157,53,1
31500,Male,40,1,28,0,1-2 Year,Yes,32071,26,42,1
33352,Female,21,1,41,1,< 1 Year,No,2630,154,84,0
50344,Female,23,1,30,1,< 1 Year,No,46584,152,169,0
51873,Male,45,1,48,1,1-2 Year,No,2630,25,158,0
50286,Female,52,1,28,0,1-2 Year,Yes,51939,26,158,0
23264,Male,50,1,28,1,1-2 Year,No,34815,26,277,0
40715,Male,24,1,13,0,1-2 Year,Yes,22171,156,233,0
14392,Male,24,1,41,1,< 1 Year,No,41301,152,226,0
41033,Female,35,1,3,1,1-2 Year,No,21915,124,128,0
20877,Male,45,1,28,0,1-2 Year,Yes,42341,26,179,0
6107,Female,45,1,45,1,1-2 Year,No,23570,152,18,0
36710,Male,24,1,41,1,< 1 Year,No,27103,152,215,0
5320,Male,40,1,28,1,1-2 Year,No,29002,52,221,0
16120,Male,39,1,28,0,1-2 Year,Yes,42626,26,159,0
59790,Male,32,1,28,0,1-2 Year,Yes,37295,154,91,0
36415,Male,46,1,30,0,1-2 Year,Yes,26040,26,177,0
61060,Male,31,1,36,1,< 1 Year,No,37664,152,225,0
11193,Male,50,1,22,1,1-2 Year,No,28424,26,100,0
53115,Male,26,1,30,1,< 1 Year,No,24321,152,241,0
40272,Male,42,1,28,0,1-2 Year,Yes,35808,124,42,0
64742,Female,60,1,29,1,1-2 Year,No,2630,152,113,0
12406,Female,51,1,28,0,1-2 Year,Yes,53444,124,38,0
59073,Male,20,1,35,1,< 1 Year,No,26520,160,30,0
39728,Female,21,1,41,1,< 1 Year,No,34398,152,134,0
44626,Female,43,1,29,0,1-2 Year,Yes,2630,124,74,0
44551,Male,21,1,47,0,< 1 Year,Yes,31048,160,218,0
60384,Male,66,1,50,0,1-2 Year,Yes,36066,26,294,0
53011,Male,38,1,50,0,1-2 Year,Yes,22997,124,275,0
34846,Male,34,1,30,0,1-2 Year,Yes,2630,26,110,0
65572,Female,32,1,28,0,1-2 Year,No,2630,156,59,0
27947,Male,73,1,28,1,1-2 Year,No,46521,26,45,0
24616,Male,24,1,18,0,1-2 Year,No,2630,124,27,0
19479,Female,36,1,46,0,1-2 Year,Yes,2630,152,132,0
4373,Male,50,1,8,0,1-2 Year,Yes,2630,124,244,1
55,Male,54,1,48,1,1-2 Year,No,2630,124,206,0
47168,Male,45,1,4,0,> 2 Years,Yes,2630,26,115,1
11638,Female,25,1,43,1,< 1 Year,No,24912,152,18,0
54588,Female,50,1,41,0,1-2 Year,Yes,2630,156,14,0
45056,Female,41,1,28,0,1-2 Year,Yes,35524,124,13,1
52294,Female,64,1,14,0,> 2 Years,Yes,27602,26,91,1
56403,Male,22,1,36,1,< 1 Year,No,29264,152,119,0
8519,Male,54,1,46,1,1-2 Year,No,31506,26,150,0
60549,Male,23,1,29,1,< 1 Year,Yes,2630,156,68,0
34158,Female,47,1,28,1,1-2 Year,No,31213,26,42,0
43665,Female,66,1,47,1,1-2 Year,No,26837,16,290,0
21840,Male,22,1,50,1,< 1 Year,No,63885,152,11,0
56767,Female,74,1,29,0,1-2 Year,Yes,35211,26,66,1
15034,Female,21,1,10,0,< 1 Year,Yes,2630,152,31,1
30113,Female,21,1,21,0,< 1 Year,Yes,30652,152,277,0
64350,Male,27,1,41,1,< 1 Year,No,35929,152,279,0
65461,Female,22,1,36,1,< 1 Year,No,32483,152,43,0
38382,Male,67,1,28,0,1-2 Year,Yes,44330,13,149,0
49251,Male,42,1,31,0,1-2 Year,Yes,2630,25,146,0
64393,Female,44,1,28,0,1-2 Year,Yes,2630,156,77,0
47291,Male,65,1,33,0,1-2 Year,Yes,2630,26,130,0
42688,Female,49,1,28,0,> 2 Years,Yes,36151,26,205,1
34079,Female,62,1,48,1,1-2 Year,Yes,2630,15,283,0
63264,Male,74,1,39,0,1-2 Year,No,45781,26,218,0
37009,Male,23,1,27,0,< 1 Year,Yes,26684,152,98,0
48252,Female,40,1,28,0,1-2 Year,Yes,55098,26,222,1
9747,Female,23,1,37,0,< 1 Year,Yes,2630,152,148,0
35284,Female,25,1,9,0,< 1 Year,Yes,19711,152,229,0
39240,Female,58,1,50,1,1-2 Year,No,33935,26,65,0
52696,Male,69,1,8,1,1-2 Year,Yes,57527,124,35,0
3179,Female,62,1,18,1,1-2 Year,No,29770,26,247,0
63820,Male,34,1,41,1,1-2 Year,No,36436,152,194,0
37307,Female,25,1,30,1,< 1 Year,No,35339,152,84,0
39830,Female,26,1,11,0,< 1 Year,Yes,38440,124,245,1
52428,Male,25,1,28,0,1-2 Year,Yes,36165,124,278,1
15236,Female,22,1,41,1,< 1 Year,No,26919,152,16,0
29661,Male,27,1,6,1,< 1 Year,No,2630,152,107,0
4942,Female,60,1,28,0,1-2 Year,Yes,35116,26,205,0
28338,Female,43,1,28,0,1-2 Year,Yes,46334,26,293,1
36407,Female,31,1,3,1,< 1 Year,No,36867,152,187,0
35155,Female,61,1,28,0,1-2 Year,Yes,62146,26,247,1
3978,Female,29,1,28,1,< 1 Year,No,2630,1,105,0
8779,Male,51,1,28,0,1-2 Year,Yes,39013,26,205,1
53547,Female,45,1,3,1,1-2 Year,No,25275,124,289,0
9281,Female,56,1,11,1,1-2 Year,No,27730,154,230,0
11536,Female,37,1,39,0,1-2 Year,Yes,36659,124,1781,0
48981,Female,21,1,35,1,< 1 Year,No,2630,160,252,0
64674,Female,39,1,46,0,1-2 Year,Yes,25126,26,259,1
11108,Male,54,1,35,0,1-2 Year,Yes,38100,26,113,0
30709,Female,24,1,35,1,< 1 Year,No,26224,152,49,0
25359,Male,73,1,8,0,> 2 Years,Yes,54559,124,201,1
46428,Male,55,1,28,0,1-2 Year,Yes,22937,26,143,1
63108,Female,28,1,28,0,< 1 Year,No,34320,152,134,0
27473,Male,45,1,18,1,1-2 Year,No,33500,26,236,0
43505,Male,48,1,41,0,1-2 Year,Yes,37258,124,195,0
33093,Female,43,1,37,0,1-2 Year,Yes,2630,157,193,0
28052,Female,22,1,29,0,1-2 Year,Yes,22306,163,203,0
8498,Female,25,1,3,1,< 1 Year,No,31044,152,232,0
21456,Male,54,1,28,1,1-2 Year,No,32251,124,230,0
39833,Male,26,1,28,1,< 1 Year,No,26777,152,232,0
37345,Female,23,1,3,1,< 1 Year,No,25981,152,213,0
33602,Female,44,1,4,0,1-2 Year,Yes,23307,124,212,0
54526,Male,54,1,33,0,1-2 Year,Yes,19550,124,273,1
9731,Male,53,1,8,0,1-2 Year,Yes,39025,26,220,0
23116,Male,30,1,28,1,1-2 Year,No,42134,124,173,0
3262,Male,48,0,12,0,1-2 Year,Yes,24475,26,101,0
20848,Male,23,1,43,0,< 1 Year,Yes,32968,152,236,0
14929,Male,23,1,36,1,< 1 Year,No,30682,152,294,0
10028,Female,26,1,41,1,< 1 Year,No,39950,152,226,0
15806,Female,24,1,3,1,< 1 Year,No,25856,152,153,0
591,Male,50,1,46,0,1-2 Year,Yes,33305,124,200,1
26042,Female,39,1,46,1,1-2 Year,No,24950,26,59,0
19175,Female,46,1,44,0,1-2 Year,Yes,24966,157,70,0
47915,Male,62,1,28,1,1-2 Year,No,81037,26,81,0
56427,Female,68,1,24,1,1-2 Year,No,27422,145,106,0
17552,Female,36,1,45,0,1-2 Year,No,24292,124,255,0
45645,Female,22,1,8,1,< 1 Year,No,30605,152,279,0
48668,Female,40,1,8,0,1-2 Year,Yes,76909,124,250,0
30990,Male,23,1,8,0,< 1 Year,Yes,40254,152,84,0
26057,Male,63,1,28,1,1-2 Year,No,33036,23,101,0
64815,Female,40,1,28,0,1-2 Year,Yes,42804,26,56,0
60687,Female,70,1,28,0,1-2 Year,No,37094,13,268,0
48226,Male,53,1,28,0,1-2 Year,Yes,45445,26,287,1
58391,Male,42,1,21,0,1-2 Year,Yes,25462,124,118,0
61992,Female,47,1,28,0,1-2 Year,Yes,58518,26,28,0
37726,Female,27,1,21,1,< 1 Year,No,26573,152,197,0
58116,Male,31,1,28,0,< 1 Year,Yes,31109,152,231,0
58268,Male,62,1,8,1,1-2 Year,Yes,40222,7,173,0
20954,Male,23,1,41,0,< 1 Year,Yes,34869,26,215,1
42890,Female,40,1,4,0,1-2 Year,Yes,2630,156,288,0
44434,Male,60,1,28,0,1-2 Year,Yes,56699,26,135,0
12127,Female,48,1,28,1,1-2 Year,No,55129,124,40,0
49234,Female,29,1,14,1,< 1 Year,No,31038,152,10,0
30757,Male,53,1,13,1,1-2 Year,No,22595,25,187,0
5465,Female,37,1,8,0,1-2 Year,Yes,28645,124,253,0
53420,Female,23,1,46,0,< 1 Year,No,26046,160,114,0
1914,Male,69,1,8,0,1-2 Year,No,39016,26,261,0
6775,Male,29,1,28,0,1-2 Year,Yes,2630,158,293,0
42552,Female,53,1,28,0,1-2 Year,Yes,56320,157,217,1
45581,Male,38,1,28,0,1-2 Year,Yes,32707,122,252,0
3448,Female,25,1,36,0,< 1 Year,Yes,46610,152,56,0
24375,Male,25,1,33,1,< 1 Year,No,2630,152,284,0
18244,Male,34,1,31,0,1-2 Year,Yes,2630,154,152,1
40480,Male,44,1,32,1,1-2 Year,Yes,2630,156,51,0
8310,Male,69,1,28,1,1-2 Year,Yes,50129,122,162,0
21983,Female,20,1,8,1,< 1 Year,No,43870,160,170,0
55217,Male,51,1,28,0,1-2 Year,Yes,50939,124,229,0
26499,Female,20,1,13,1,< 1 Year,No,2630,160,108,0
40171,Male,45,1,7,1,1-2 Year,No,41039,124,229,0
58142,Female,24,1,10,1,< 1 Year,No,27664,152,141,0
53551,Female,25,1,21,1,< 1 Year,No,21261,152,85,0
34571,Female,38,1,28,0,1-2 Year,No,2630,154,38,0
28745,Male,37,1,41,0,1-2 Year,Yes,30951,163,136,1
53268,Male,37,1,28,0,1-2 Year,Yes,41011,124,231,1
30396,Female,51,1,28,0,1-2 Year,Yes,41230,26,179,0
37663,Female,27,1,28,1,< 1 Year,No,29246,152,38,0
65421,Female,55,1,28,0,1-2 Year,Yes,29219,26,41,1
23765,Female,21,1,12,0,< 1 Year,No,21236,152,51,0
43451,Female,22,1,30,1,< 1 Year,No,26857,152,14,0
23322,Female,27,1,26,1,< 1 Year,No,31558,152,12,0
15874,Male,60,1,26,1,1-2 Year,No,39176,122,144,0
13135,Male,45,1,47,0,1-2 Year,Yes,27962,26,172,0
9186,Female,23,1,6,1,< 1 Year,No,33344,152,229,0
54341,Male,23,1,8,0,< 1 Year,Yes,34259,152,184,0
13208,Female,42,1,43,0,1-2 Year,Yes,36477,124,12,1
38634,Male,23,1,41,0,< 1 Year,No,42696,152,2856,0
61054,Female,41,1,0,1,1-2 Year,No,2630,122,227,0
16418,Male,32,1,29,0,< 1 Year,Yes,46631,154,114,1
34893,Male,47,1,28,1,1-2 Year,No,52555,122,165,0
27058,Female,47,1,47,0,1-2 Year,Yes,55064,26,245,1
60885,Male,45,1,28,0,> 2 Years,Yes,43829,124,264,0
51512,Male,35,1,8,1,1-2 Year,No,27197,26,139,0
1901,Female,40,1,3,0,1-2 Year,Yes,35409,26,271,0
16940,Female,26,1,15,1,< 1 Year,Yes,43438,152,250,0
22271,Male,29,1,21,1,< 1 Year,No,31491,152,238,0
61022,Male,48,1,28,0,1-2 Year,Yes,38050,59,127,1
27644,Male,44,1,46,0,1-2 Year,Yes,39264,124,246,1
54584,Male,70,1,28,0,1-2 Year,Yes,56061,26,53,1
8619,Male,25,1,33,0,< 1 Year,No,2630,152,146,0
26264,Male,46,1,8,1,1-2 Year,Yes,30033,124,294,0
54100,Male,56,1,28,0,1-2 Year,Yes,34407,26,128,0
44261,Male,42,1,46,1,1-2 Year,No,34576,11,102,0
34484,Male,43,1,46,1,1-2 Year,No,30124,95,226,0
56453,Male,24,1,6,1,< 1 Year,No,17871,152,200,0
42187,Female,34,1,16,1,1-2 Year,No,32255,152,108,0
38972,Female,22,1,25,0,< 1 Year,Yes,25826,152,37,0
19770,Female,59,1,11,0,1-2 Year,Yes,2630,124,296,1
36316,Female,24,1,13,1,< 1 Year,No,23505,152,170,0
3453,Male,24,1,6,0,< 1 Year,No,22897,152,163,0
29319,Male,45,1,28,1,1-2 Year,No,37836,54,86,0
41565,Male,48,1,38,0,1-2 Year,Yes,38549,156,19,0
29550,Female,22,1,41,1,< 1 Year,No,18849,152,91,0
25259,Female,33,1,8,1,< 1 Year,No,24070,152,29,0
50210,Female,35,1,28,0,1-2 Year,Yes,38715,124,118,0
24677,Female,28,1,28,1,< 1 Year,No,29245,152,168,0
50232,Male,46,1,28,0,1-2 Year,Yes,47383,124,138,0
58674,Male,42,1,28,0,1-2 Year,Yes,37801,26,43,0
58510,Female,64,1,31,0,> 2 Years,Yes,2630,26,184,1
59379,Male,42,1,13,0,1-2 Year,Yes,29513,26,286,0
41150,Male,42,1,28,0,1-2 Year,Yes,39865,26,54,0
30730,Female,64,1,16,0,1-2 Year,Yes,21552,26,283,0
24639,Male,42,1,3,0,1-2 Year,Yes,26267,124,215,1
34839,Male,55,1,15,0,1-2 Year,Yes,2630,156,224,1
52207,Female,22,1,36,1,< 1 Year,No,34397,152,269,0
15314,Male,35,1,48,0,1-2 Year,Yes,2630,124,234,0
37692,Male,59,1,28,0,> 2 Years,Yes,34265,26,297,0
14939,Female,22,1,5,1,< 1 Year,No,2630,152,138,0
59272,Female,25,1,34,0,< 1 Year,No,31457,152,19,0
59951,Male,45,1,28,0,1-2 Year,Yes,63614,124,160,0
24365,Female,63,1,8,0,1-2 Year,Yes,2630,26,40,0
31465,Male,57,1,28,0,1-2 Year,Yes,56761,124,115,1
19061,Male,48,1,28,1,1-2 Year,No,36280,124,128,0
26671,Female,25,1,28,1,< 1 Year,No,55230,152,210,0
53994,Male,52,1,46,1,1-2 Year,No,25598,155,214,0
59541,Male,29,1,4,0,1-2 Year,No,2630,156,69,1
65405,Female,22,1,47,1,< 1 Year,No,37353,152,174,0
13682,Male,25,1,45,1,< 1 Year,No,22175,152,161,0
64799,Male,34,1,45,1,1-2 Year,Yes,20991,124,14,0
632,Male,20,1,47,1,< 1 Year,No,49587,160,69,0
37617,Female,22,1,28,0,< 1 Year,Yes,65100,152,178,0
34782,Male,50,1,38,0,1-2 Year,No,25730,124,86,0
50047,Female,23,1,32,0,< 1 Year,No,24711,152,299,0
10842,Female,24,1,25,1,< 1 Year,No,30390,152,91,0
42506,Male,47,1,28,0,1-2 Year,Yes,40534,124,196,0
6960,Female,34,1,28,0,1-2 Year,Yes,24550,156,148,0
40550,Female,21,1,39,0,< 1 Year,Yes,34136,160,26,0
48725,Male,51,1,19,1,1-2 Year,No,30674,56,117,0
42611,Male,45,1,28,0,1-2 Year,Yes,28515,124,33,0
11561,Male,38,1,29,0,1-2 Year,Yes,2630,154,94,0
695,Male,53,1,28,1,1-2 Year,Yes,2630,157,195,0
23610,Male,70,1,48,1,1-2 Year,No,2630,15,88,0
13623,Female,49,1,35,0,1-2 Year,Yes,28666,26,172,0
43215,Female,26,1,29,1,< 1 Year,No,33725,152,228,0
60283,Male,47,1,28,0,1-2 Year,Yes,30518,124,210,1
50573,Female,55,1,38,0,1-2 Year,Yes,2630,157,252,1
3724,Female,33,1,33,0,< 1 Year,Yes,36572,152,3540,0
40678,Female,47,1,28,0,1-2 Year,Yes,77169,26,96,1
50602,Male,40,1,28,0,1-2 Year,Yes,68726,124,174,0
